Einzelbewerber/Wählergruppe;EB: Krämer;Wahlrechtsreform;
Einzelbewerber/Wählergruppe;EB: Weich;Weich - parteilos;
Einzelbewerber/Wählergruppe;EB: Hartmann;Werner Hartmann;
Einzelbewerber/Wählergruppe;EB: Müller;Wir - alle gemeinsam;
Einzelbewerber/Wählergruppe;EB: Tropp;Wir! Gemeinsam stark;
Einzelbewerber/Wählergruppe;EB: El-Fayoumy;Wir haben eine Welt zu verlieren;
Einzelbewerber/Wählergruppe;EB: Eckelmann;Wirklich besser regieren, für unser Land und für unsere Zukunft.;
Einzelbewerber/Wählergruppe;EB: Kohl;WIR sind LEIPZIGER;
Einzelbewerber/Wählergruppe;EB: Schütz;Wirtschaftlich-Ökologisch-Familienfreundlich;
Einzelbewerber/Wählergruppe;EB: Engels;Wotan Engels;
Einzelbewerber/Wählergruppe;EB: Fielsch;www.weltrettung-durch-therapie.de;
Einzelbewerber/Wählergruppe;EB: Bayer;www.zeitkaufhaus.de Martin Bayer;
Einzelbewerber/Wählergruppe;EB: Zebian;Zebian, Ayman;
Einzelbewerber/Wählergruppe;EB: Lembach;Zeitgemäße Demokratie mit Politik auf Augenhöhe;
Einzelbewerber/Wählergruppe;EB: Bunte;Zeit zählt!;
Einzelbewerber/Wählergruppe;EB: Hinners;ZUKUNFT;
System-Gruppe;Übrige;Übrige;
